id;nom_porteur;num_carte;date_expiration;cvv
1;Cambridgeshire Reduced;41151;2023-11-09T17:28:29;44404
2;e-commerce Peso Aquitaine;35761;2023-11-10T09:28:04;31743
3;Ergonomic;11430;2023-11-10T09:05:18;95921
4;Nicaragua Buckinghamshire;45380;2023-11-09T23:17:20;96143
5;client-driven Saint-Honoré a;98673;2023-11-09T14:43:54;14975
6;Outdoors Bacon multi-byte;88036;2023-11-09T14:09:19;91297
7;base;98755;2023-11-09T19:15:08;58006
8;Buckinghamshire;10150;2023-11-10T03:00:42;84804
9;Rubber Vatu;75050;2023-11-10T03:06:35;89770
10;Rupiah;72751;2023-11-09T20:36:58;5809
